mode,ix,iy,I_input,J,a,b,C,h,X,Y,Z,rgb_r,rgb_g,rgb_b,rgb_r_clamped,rgb_g_clamped,rgb_b_clamped,is_out_of_gamut
Iab,3,4,60.000000000000,59.934106918948,2.400000000000,-4.800000000000,5.366563145999,296.565051177078,29.805490493774,30.405679702759,37.040992736816,0.595910906792,0.581083416939,0.623082339764,0.595910906792,0.581083416939,0.623082339764,false
Iab,4,4,60.000000000000,59.934106918948,4.800000000000,-4.800000000000,6.788225099391,315.000000000000,30.338069915771,30.287683486938,37.040966033936,0.612111568451,0.574451208115,0.623520255089,0.612111568451,0.574451208115,0.623520255089,false
LC,0,0,,90.000000000000,1.200000000000,0.000000000000,1.200000000000,0.000000000000,74.844383239746,78.216361999512,85.210975646973,0.905430257320,0.894878923893,0.897734284401,0.905430257320,0.894878923893,0.897734284401,false
LC,1,0,,90.000000000000,3.600000000000,0.000000000000,3.600000000000,0.000000000000,75.708854675293,78.021659851074,85.095695495605,0.921084165573,0.888700306416,0.897561609745,0.921084165573,0.888700306416,0.897561609745,false
LC,2,0,,90.000000000000,6.000000000000,0.000000000000,6.000000000000,0.000000000000,76.626281738281,77.815895080566,84.973327636719,0.937315046787,0.882089078426,0.897377312183,0.937315046787,0.882089078426,0.897377312183,false
LC,3,0,,90.000000000000,8.400000000000,0.000000000000,8.400000000000,0.000000000000,77.599868774414,77.598510742188,84.843444824219,0.954135537148,0.875010550022,0.897180497646,0.954135537148,0.875010550022,0.897180497646,false
LC,4,0,,90.000000000000,10.800000000000,0.000000000000,10.800000000000,0.000000000000,78.632934570313,77.368949890137,84.705581665039,0.971557080746,0.867427110672,0.896970212460,0.971557080746,0.867427110672,0.896970212460,false
LC,0,1,,70.000000000000,1.200000000000,0.000000000000,1.200000000000,0.000000000000,41.837192535400,43.638572692871,47.548408508301,0.699928104877,0.689305841923,0.692184686661,0.699928104877,0.689305841923,0.692184686661,false
LC,1,1,,70.000000000000,3.600000000000,0.000000000000,3.600000000000,0.000000000000,42.457015991211,43.499137878418,47.465744018555,0.715600311756,0.683066904545,0.692010402679,0.715600311756,0.683066904545,0.692010402679,false
LC,2,1,,70.000000000000,6.000000000000,0.000000000000,6.000000000000,0.000000000000,43.114597320557,43.351989746094,47.378028869629,0.731745541096,0.676376938820,0.691824197769,0.731745541096,0.676376938820,0.691824197769,false
LC,3,1,,70.000000000000,8.400000000000,0.000000000000,8.400000000000,0.000000000000,43.812213897705,43.196781158447,47.284942626953,0.748372673988,0.669197261333,0.691624999046,0.748372673988,0.669197261333,0.691624999046,false
LC,4,1,,70.000000000000,10.800000000000,0.000000000000,10.800000000000,0.000000000000,44.552242279053,43.033164978027,47.186168670654,0.765489757061,0.661485195160,0.691411912441,0.765489757061,0.661485195160,0.691411912441,false
LC,0,2,,50.000000000000,1.200000000000,0.000000000000,1.200000000000,0.000000000000,19.216972351074,19.975702285767,21.771522521973,0.492456257343,0.481742948294,0.484654396772,0.492456257343,0.481742948294,0.484654396772,false
LC,1,2,,50.000000000000,3.600000000000,0.000000000000,3.600000000000,0.000000000000,19.613937377930,19.886577606201,21.718578338623,0.508107781410,0.475416600704,0.484477907419,0.508107781410,0.475416600704,0.484477907419,false
LC,2,2,,50.000000000000,6.000000000000,0.000000000000,6.000000000000,0.000000000000,20.034875869751,19.792781829834,21.662412643433,0.524054110050,0.468606382608,0.484288781881,0.524054110050,0.468606382608,0.484288781881,false
LC,3,2,,50.000000000000,8.400000000000,0.000000000000,8.400000000000,0.000000000000,20.481197357178,19.694135665894,21.602838516235,0.540304362774,0.461265385151,0.484086036682,0.540304362774,0.461265385151,0.484086036682,false
LC,4,2,,50.000000000000,10.800000000000,0.000000000000,10.800000000000,0.000000000000,20.954370498657,19.590467453003,21.539653778076,0.556866884232,0.453340649605,0.483868569136,0.556866884232,0.453340649605,0.483868569136,false
LC,0,3,,30.000000000000,1.200000000000,0.000000000000,1.200000000000,0.000000000000,5.911625862122,6.096271514893,6.648643493652,0.282150149345,0.271314322948,0.274277746677,0.282150149345,0.271314322948,0.274277746677,false
LC,1,3,,30.000000000000,3.600000000000,0.000000000000,3.600000000000,0.000000000000,6.113371372223,6.051191806793,6.621731281281,0.297636985779,0.264833420515,0.274097532034,0.297636985779,0.264833420515,0.274097532034,false
LC,2,3,,30.000000000000,6.000000000000,0.000000000000,6.000000000000,0.000000000000,6.327045440674,6.004050731659,6.593206405640,0.313045501709,0.257789909840,0.273903191090,0.313045501709,0.257789909840,0.273903191090,false
LC,3,3,,30.000000000000,8.400000000000,0.000000000000,8.400000000000,0.000000000000,6.553305625916,5.954814910889,6.562982559204,0.328414469957,0.250112950802,0.273693680763,0.328414469957,0.250112950802,0.273693680763,false
LC,4,3,,30.000000000000,10.800000000000,0.000000000000,10.800000000000,0.000000000000,6.792855739594,5.903460025787,6.530959606171,0.343777537346,0.241716489196,0.273467540741,0.343777537346,0.241716489196,0.273467540741,false
LC,0,4,,10.000000000000,1.200000000000,0.000000000000,1.200000000000,0.000000000000,0.476862370968,0.472924590111,0.517431855202,0.066649019718,0.055666066706,0.058763146400,0.066649019718,0.055666066706,0.058763146400,false
LC,1,4,,10.000000000000,3.600000000000,0.000000000000,3.600000000000,0.000000000000,0.523765861988,0.462694972754,0.511166989803,0.080913513899,0.048654131591,0.058571521193,0.080913513899,0.048654131591,0.058571521193,false
LC,2,4,,10.000000000000,6.000000000000,0.000000000000,6.000000000000,0.000000000000,0.573144018650,0.452349096537,0.504559159279,0.093911968172,0.040573045611,0.058359358460,0.093911968172,0.040573045611,0.058359358460,false
LC,3,4,,10.000000000000,8.400000000000,0.000000000000,8.400000000000,0.000000000000,0.625101625919,0.441942960024,0.497593075037,0.106017470360,0.031509038061,0.058124314994,0.106017470360,0.031509038061,0.058124314994,false
LC,4,4,,10.000000000000,10.800000000000,0.000000000000,10.800000000000,0.000000000000,0.679745316505,0.431543767452,0.490253031254,0.117460258305,0.022106081247,0.057863745838,0.117460258305,0.022106081247,0.057863745838,false
